Start Timestep,End Timestep,Average Episodic Return
5192,5192,4.0
6168,6168,6.0
7064,7064,9.0
7712,7712,10.0
8300,8300,7.0
8764,8764,4.0
12664,12664,6.0
15200,15200,6.0
15840,15840,8.0
21176,21176,6.0
23228,23228,7.0
24456,24456,4.0
26680,26944,5.5
28640,28640,6.0
28716,28716,4.0
29900,29900,6.0
34760,34760,6.0
34920,35116,7.0
38004,38004,7.0
38748,38748,4.0
39112,39112,6.0
42076,42076,6.0
45272,45272,7.0
46540,46540,12.0
48788,48788,6.0
51744,51744,9.0
52716,52716,8.0
54004,54004,2.0
57044,57044,7.0
58948,58948,4.0
